fips,county_name,year,predicted_ratio,trend_per_year,latest_ratio,latest_rent,latest_income
1053,"Escambia County, Alabama",2028,18.08,-0.2117,19.14,709.0,44447.0
1059,"Franklin County, Alabama",2024,15.09,-0.4456,15.54,667.0,51493.0
1059,"Franklin County, Alabama",2025,14.65,-0.4456,15.54,667.0,51493.0
1059,"Franklin County, Alabama",2026,14.2,-0.4456,15.54,667.0,51493.0
1059,"Franklin County, Alabama",2027,13.76,-0.4456,15.54,667.0,51493.0
1059,"Franklin County, Alabama",2028,13.31,-0.4456,15.54,667.0,51493.0
1065,"Hale County, Alabama",2024,21.49,0.5,20.99,723.0,41325.0
1065,"Hale County, Alabama",2025,21.99,0.5,20.99,723.0,41325.0
1065,"Hale County, Alabama",2026,22.49,0.5,20.99,723.0,41325.0
1065,"Hale County, Alabama",2027,22.99,0.5,20.99,723.0,41325.0
1065,"Hale County, Alabama",2028,23.49,0.5,20.99,723.0,41325.0
1069,"Houston County, Alabama",2024,18.65,-0.2281,18.88,905.0,57531.0
1069,"Houston County, Alabama",2025,18.42,-0.2281,18.88,905.0,57531.0
1069,"Houston County, Alabama",2026,18.2,-0.2281,18.88,905.0,57531.0
1069,"Houston County, Alabama",2027,17.97,-0.2281,18.88,905.0,57531.0
1069,"Houston County, Alabama",2028,17.74,-0.2281,18.88,905.0,57531.0
1081,"Lee County, Alabama",2024,19.3,-0.313,19.61,999.0,61123.0
1081,"Lee County, Alabama",2025,18.98,-0.313,19.61,999.0,61123.0
1081,"Lee County, Alabama",2026,18.67,-0.313,19.61,999.0,61123.0
1081,"Lee County, Alabama",2027,18.36,-0.313,19.61,999.0,61123.0
1081,"Lee County, Alabama",2028,18.05,-0.313,19.61,999.0,61123.0
1083,"Limestone County, Alabama",2024,12.78,-0.263,13.04,908.0,83534.0
1083,"Limestone County, Alabama",2025,12.51,-0.263,13.04,908.0,83534.0
1083,"Limestone County, Alabama",2026,12.25,-0.263,13.04,908.0,83534.0
1083,"Limestone County, Alabama",2027,11.99,-0.263,13.04,908.0,83534.0
1083,"Limestone County, Alabama",2028,11.73,-0.263,13.04,908.0,83534.0
1087,"Macon County, Alabama",2024,18.02,-0.5,18.52,709.0,45951.0
1087,"Macon County, Alabama",2025,17.52,-0.5,18.52,709.0,45951.0
1087,"Macon County, Alabama",2026,17.02,-0.5,18.52,709.0,45951.0
1087,"Macon County, Alabama",2027,16.52,-0.5,18.52,709.0,45951.0
1087,"Macon County, Alabama",2028,16.02,-0.5,18.52,709.0,45951.0
1089,"Madison County, Alabama",2024,16.09,0.061,16.03,1116.0,83528.0
1089,"Madison County, Alabama",2025,16.15,0.061,16.03,1116.0,83528.0
1089,"Madison County, Alabama",2026,16.21,0.061,16.03,1116.0,83528.0
1089,"Madison County, Alabama",2027,16.27,0.061,16.03,1116.0,83528.0
1089,"Madison County, Alabama",2028,16.33,0.061,16.03,1116.0,83528.0
1093,"Marion County, Alabama",2024,13.3,-0.5,13.8,583.0,50714.0
1093,"Marion County, Alabama",2025,12.8,-0.5,13.8,583.0,50714.0
1093,"Marion County, Alabama",2026,12.3,-0.5,13.8,583.0,50714.0
1093,"Marion County, Alabama",2027,11.8,-0.5,13.8,583.0,50714.0
1093,"Marion County, Alabama",2028,11.3,-0.5,13.8,583.0,50714.0
1095,"Marshall County, Alabama",2024,14.56,-0.5,15.06,765.0,60946.0
1095,"Marshall County, Alabama",2025,14.06,-0.5,15.06,765.0,60946.0
1095,"Marshall County, Alabama",2026,13.56,-0.5,15.06,765.0,60946.0
1095,"Marshall County, Alabama",2027,13.06,-0.5,15.06,765.0,60946.0
1095,"Marshall County, Alabama",2028,12.56,-0.5,15.06,765.0,60946.0
1097,"Mobile County, Alabama",2024,20.97,-0.1132,21.08,1021.0,58119.0
1097,"Mobile County, Alabama",2025,20.85,-0.1132,21.08,1021.0,58119.0
1097,"Mobile County, Alabama",2026,20.74,-0.1132,21.08,1021.0,58119.0
1097,"Mobile County, Alabama",2027,20.63,-0.1132,21.08,1021.0,58119.0
1097,"Mobile County, Alabama",2028,20.51,-0.1132,21.08,1021.0,58119.0
1111,"Randolph County, Alabama",2024,14.59,-0.4469,15.04,646.0,51551.0
1111,"Randolph County, Alabama",2025,14.15,-0.4469,15.04,646.0,51551.0
1111,"Randolph County, Alabama",2026,13.7,-0.4469,15.04,646.0,51551.0
1111,"Randolph County, Alabama",2027,13.25,-0.4469,15.04,646.0,51551.0
1111,"Randolph County, Alabama",2028,12.81,-0.4469,15.04,646.0,51551.0
1113,"Russell County, Alabama",2024,21.35,-0.1839,21.53,898.0,50046.0
1113,"Russell County, Alabama",2025,21.16,-0.1839,21.53,898.0,50046.0
1113,"Russell County, Alabama",2026,20.98,-0.1839,21.53,898.0,50046.0
1113,"Russell County, Alabama",2027,20.79,-0.1839,21.53,898.0,50046.0
1113,"Russell County, Alabama",2028,20.61,-0.1839,21.53,898.0,50046.0
1117,"Shelby County, Alabama",2024,17.49,0.2019,17.29,1348.0,93543.0
1117,"Shelby County, Alabama",2025,17.69,0.2019,17.29,1348.0,93543.0
1117,"Shelby County, Alabama",2026,17.9,0.2019,17.29,1348.0,93543.0
1117,"Shelby County, Alabama",2027,18.1,0.2019,17.29,1348.0,93543.0
1117,"Shelby County, Alabama",2028,18.3,0.2019,17.29,1348.0,93543.0
1121,"Talladega County, Alabama",2024,16.19,-0.2767,16.47,772.0,56249.0
1121,"Talladega County, Alabama",2025,15.92,-0.2767,16.47,772.0,56249.0
1121,"Talladega County, Alabama",2026,15.64,-0.2767,16.47,772.0,56249.0
1121,"Talladega County, Alabama",2027,15.36,-0.2767,16.47,772.0,56249.0
1121,"Talladega County, Alabama",2028,15.09,-0.2767,16.47,772.0,56249.0
1123,"Tallapoosa County, Alabama",2024,15.06,-0.3436,15.4,734.0,57185.0
1123,"Tallapoosa County, Alabama",2025,14.71,-0.3436,15.4,734.0,57185.0
1123,"Tallapoosa County, Alabama",2026,14.37,-0.3436,15.4,734.0,57185.0
1123,"Tallapoosa County, Alabama",2027,14.03,-0.3436,15.4,734.0,57185.0
1123,"Tallapoosa County, Alabama",2028,13.68,-0.3436,15.4,734.0,57185.0
1125,"Tuscaloosa County, Alabama",2024,18.6,-0.114,18.71,997.0,63947.0
1125,"Tuscaloosa County, Alabama",2025,18.48,-0.114,18.71,997.0,63947.0
1125,"Tuscaloosa County, Alabama",2026,18.37,-0.114,18.71,997.0,63947.0
1125,"Tuscaloosa County, Alabama",2027,18.25,-0.114,18.71,997.0,63947.0
1125,"Tuscaloosa County, Alabama",2028,18.14,-0.114,18.71,997.0,63947.0
1127,"Walker County, Alabama",2024,15.86,-0.4975,16.36,743.0,54509.0
1127,"Walker County, Alabama",2025,15.36,-0.4975,16.36,743.0,54509.0
1127,"Walker County, Alabama",2026,14.87,-0.4975,16.36,743.0,54509.0
1127,"Walker County, Alabama",2027,14.37,-0.4975,16.36,743.0,54509.0
1127,"Walker County, Alabama",2028,13.87,-0.4975,16.36,743.0,54509.0
2110,"Juneau City and Borough, Alaska",2024,17.74,0.2875,17.45,1462.0,100513.0
2110,"Juneau City and Borough, Alaska",2025,18.02,0.2875,17.45,1462.0,100513.0
2110,"Juneau City and Borough, Alaska",2026,18.31,0.2875,17.45,1462.0,100513.0
2110,"Juneau City and Borough, Alaska",2027,18.6,0.2875,17.45,1462.0,100513.0
2110,"Juneau City and Borough, Alaska",2028,18.89,0.2875,17.45,1462.0,100513.0
2130,"Ketchikan Gateway Borough, Alaska",2024,18.42,-0.2631,18.68,1388.0,89155.0
2130,"Ketchikan Gateway Borough, Alaska",2025,18.15,-0.2631,18.68,1388.0,89155.0
2130,"Ketchikan Gateway Borough, Alaska",2026,17.89,-0.2631,18.68,1388.0,89155.0
2130,"Ketchikan Gateway Borough, Alaska",2027,17.63,-0.2631,18.68,1388.0,89155.0
2130,"Ketchikan Gateway Borough, Alaska",2028,17.36,-0.2631,18.68,1388.0,89155.0
2150,"Kodiak Island Borough, Alaska",2024,24.26,0.3424,23.92,1669.0,83716.0
2150,"Kodiak Island Borough, Alaska",2025,24.6,0.3424,23.92,1669.0,83716.0
2150,"Kodiak Island Borough, Alaska",2026,24.95,0.3424,23.92,1669.0,83716.0
2150,"Kodiak Island Borough, Alaska",2027,25.29,0.3424,23.92,1669.0,83716.0
2150,"Kodiak Island Borough, Alaska",2028,25.63,0.3424,23.92,1669.0,83716.0
4001,"Apache County, Arizona",2024,19.5,0.2529,19.25,647.0,40338.0
4001,"Apache County, Arizona",2025,19.76,0.2529,19.25,647.0,40338.0
4001,"Apache County, Arizona",2026,20.01,0.2529,19.25,647.0,40338.0
4001,"Apache County, Arizona",2027,20.26,0.2529,19.25,647.0,40338.0
4001,"Apache County, Arizona",2028,20.51,0.2529,19.25,647.0,40338.0
4003,"Cochise County, Arizona",2024,18.79,-0.322,19.11,939.0,58970.0
4003,"Cochise County, Arizona",2025,18.47,-0.322,19.11,939.0,58970.0
4003,"Cochise County, Arizona",2026,18.14,-0.322,19.11,939.0,58970.0
4003,"Cochise County, Arizona",2027,17.82,-0.322,19.11,939.0,58970.0
4003,"Cochise County, Arizona",2028,17.5,-0.322,19.11,939.0,58970.0
4007,"Gila County, Arizona",2024,19.98,-0.3474,20.33,1001.0,59089.0
4007,"Gila County, Arizona",2025,19.64,-0.3474,20.33,1001.0,59089.0
4007,"Gila County, Arizona",2026,19.29,-0.3474,20.33,1001.0,59089.0
4007,"Gila County, Arizona",2027,18.94,-0.3474,20.33,1001.0,59089.0
4007,"Gila County, Arizona",2028,18.59,-0.3474,20.33,1001.0,59089.0
4009,"Graham County, Arizona",2024,15.36,-0.5,15.86,890.0,67326.0
4009,"Graham County, Arizona",2025,14.86,-0.5,15.86,890.0,67326.0
4009,"Graham County, Arizona",2026,14.36,-0.5,15.86,890.0,67326.0
4009,"Graham County, Arizona",2027,13.86,-0.5,15.86,890.0,67326.0
4009,"Graham County, Arizona",2028,13.36,-0.5,15.86,890.0,67326.0
4017,"Navajo County, Arizona",2024,18.44,-0.4917,18.93,832.0,52752.0
4017,"Navajo County, Arizona",2025,17.95,-0.4917,18.93,832.0,52752.0
4017,"Navajo County, Arizona",2026,17.45,-0.4917,18.93,832.0,52752.0
4017,"Navajo County, Arizona",2027,16.96,-0.4917,18.93,832.0,52752.0
4017,"Navajo County, Arizona",2028,16.47,-0.4917,18.93,832.0,52752.0
4019,"Pima County, Arizona",2024,20.2,-0.1898,20.39,1154.0,67929.0
4019,"Pima County, Arizona",2025,20.01,-0.1898,20.39,1154.0,67929.0
4019,"Pima County, Arizona",2026,19.82,-0.1898,20.39,1154.0,67929.0
4019,"Pima County, Arizona",2027,19.63,-0.1898,20.39,1154.0,67929.0
4019,"Pima County, Arizona",2028,19.44,-0.1898,20.39,1154.0,67929.0
4021,"Pinal County, Arizona",2024,21.66,-0.2612,21.92,1417.0,77588.0
4021,"Pinal County, Arizona",2025,21.4,-0.2612,21.92,1417.0,77588.0
4021,"Pinal County, Arizona",2026,21.14,-0.2612,21.92,1417.0,77588.0
4021,"Pinal County, Arizona",2027,20.88,-0.2612,21.92,1417.0,77588.0
4021,"Pinal County, Arizona",2028,20.61,-0.2612,21.92,1417.0,77588.0
4023,"Santa Cruz County, Arizona",2024,17.14,-0.342,17.48,781.0,53614.0
4023,"Santa Cruz County, Arizona",2025,16.8,-0.342,17.48,781.0,53614.0
4023,"Santa Cruz County, Arizona",2026,16.45,-0.342,17.48,781.0,53614.0
4023,"Santa Cruz County, Arizona",2027,16.11,-0.342,17.48,781.0,53614.0
4023,"Santa Cruz County, Arizona",2028,15.77,-0.342,17.48,781.0,53614.0
4027,"Yuma County, Arizona",2024,19.02,-0.5,19.52,983.0,60417.0
4027,"Yuma County, Arizona",2025,18.52,-0.5,19.52,983.0,60417.0
4027,"Yuma County, Arizona",2026,18.02,-0.5,19.52,983.0,60417.0
4027,"Yuma County, Arizona",2027,17.52,-0.5,19.52,983.0,60417.0
4027,"Yuma County, Arizona",2028,17.02,-0.5,19.52,983.0,60417.0
5001,"Arkansas County, Arkansas",2024,15.26,-0.5,15.76,799.0,60831.0
5001,"Arkansas County, Arkansas",2025,14.76,-0.5,15.76,799.0,60831.0
5001,"Arkansas County, Arkansas",2026,14.26,-0.5,15.76,799.0,60831.0
5001,"Arkansas County, Arkansas",2027,13.76,-0.5,15.76,799.0,60831.0
5001,"Arkansas County, Arkansas",2028,13.26,-0.5,15.76,799.0,60831.0
5005,"Baxter County, Arkansas",2024,21.64,0.1819,21.46,866.0,48427.0
5005,"Baxter County, Arkansas",2025,21.82,0.1819,21.46,866.0,48427.0
5005,"Baxter County, Arkansas",2026,22.01,0.1819,21.46,866.0,48427.0
5005,"Baxter County, Arkansas",2027,22.19,0.1819,21.46,866.0,48427.0
5005,"Baxter County, Arkansas",2028,22.37,0.1819,21.46,866.0,48427.0
5007,"Benton County, Arkansas",2024,15.79,-0.135,15.93,1193.0,89879.0
5007,"Benton County, Arkansas",2025,15.66,-0.135,15.93,1193.0,89879.0
5007,"Benton County, Arkansas",2026,15.53,-0.135,15.93,1193.0,89879.0
5007,"Benton County, Arkansas",2027,15.39,-0.135,15.93,1193.0,89879.0
5007,"Benton County, Arkansas",2028,15.25,-0.135,15.93,1193.0,89879.0
5009,"Boone County, Arkansas",2024,15.35,-0.4843,15.83,715.0,54195.0
5009,"Boone County, Arkansas",2025,14.86,-0.4843,15.83,715.0,54195.0
5009,"Boone County, Arkansas",2026,14.38,-0.4843,15.83,715.0,54195.0
5009,"Boone County, Arkansas",2027,13.89,-0.4843,15.83,715.0,54195.0
5009,"Boone County, Arkansas",2028,13.41,-0.4843,15.83,715.0,54195.0
5017,"Chicot County, Arkansas",2024,16.58,-0.5,17.58,536.0,36593.0
5017,"Chicot County, Arkansas",2025,16.08,-0.5,17.58,536.0,36593.0
5017,"Chicot County, Arkansas",2026,15.58,-0.5,17.58,536.0,36593.0
5017,"Chicot County, Arkansas",2027,15.08,-0.5,17.58,536.0,36593.0
5017,"Chicot County, Arkansas",2028,14.58,-0.5,17.58,536.0,36593.0
5019,"Clark County, Arkansas",2024,16.92,-0.3619,17.28,734.0,50985.0
5019,"Clark County, Arkansas",2025,16.56,-0.3619,17.28,734.0,50985.0
5019,"Clark County, Arkansas",2026,16.19,-0.3619,17.28,734.0,50985.0
5019,"Clark County, Arkansas",2027,15.83,-0.3619,17.28,734.0,50985.0
5019,"Clark County, Arkansas",2028,15.47,-0.3619,17.28,734.0,50985.0
5021,"Clay County, Arkansas",2024,16.76,-0.4602,17.22,696.0,48500.0
5021,"Clay County, Arkansas",2025,16.3,-0.4602,17.22,696.0,48500.0
5021,"Clay County, Arkansas",2026,15.84,-0.4602,17.22,696.0,48500.0
5021,"Clay County, Arkansas",2027,15.38,-0.4602,17.22,696.0,48500.0
5021,"Clay County, Arkansas",2028,14.92,-0.4602,17.22,696.0,48500.0
5027,"Columbia County, Arkansas",2024,15.49,-0.5,15.99,631.0,47363.0
5027,"Columbia County, Arkansas",2025,14.99,-0.5,15.99,631.0,47363.0
5027,"Columbia County, Arkansas",2026,14.49,-0.5,15.99,631.0,47363.0
5027,"Columbia County, Arkansas",2027,13.99,-0.5,15.99,631.0,47363.0
5027,"Columbia County, Arkansas",2028,13.49,-0.5,15.99,631.0,47363.0
5029,"Conway County, Arkansas",2024,16.59,-0.3021,16.89,721.0,51212.0
5029,"Conway County, Arkansas",2025,16.29,-0.3021,16.89,721.0,51212.0
5029,"Conway County, Arkansas",2026,15.98,-0.3021,16.89,721.0,51212.0
5029,"Conway County, Arkansas",2027,15.68,-0.3021,16.89,721.0,51212.0
5029,"Conway County, Arkansas",2028,15.38,-0.3021,16.89,721.0,51212.0
5033,"Crawford County, Arkansas",2024,16.12,-0.336,16.46,828.0,60362.0
5033,"Crawford County, Arkansas",2025,15.79,-0.336,16.46,828.0,60362.0
5033,"Crawford County, Arkansas",2026,15.45,-0.336,16.46,828.0,60362.0
5033,"Crawford County, Arkansas",2027,15.12,-0.336,16.46,828.0,60362.0
5033,"Crawford County, Arkansas",2028,14.78,-0.336,16.46,828.0,60362.0
5035,"Crittenden County, Arkansas",2024,19.1,-0.4248,19.52,883.0,54271.0
5035,"Crittenden County, Arkansas",2025,18.67,-0.4248,19.52,883.0,54271.0
5035,"Crittenden County, Arkansas",2026,18.25,-0.4248,19.52,883.0,54271.0
5035,"Crittenden County, Arkansas",2027,17.82,-0.4248,19.52,883.0,54271.0
5035,"Crittenden County, Arkansas",2028,17.4,-0.4248,19.52,883.0,54271.0
5049,"Fulton County, Arkansas",2024,18.76,0.3864,18.37,596.0,38941.0
5049,"Fulton County, Arkansas",2025,19.14,0.3864,18.37,596.0,38941.0
5049,"Fulton County, Arkansas",2026,19.53,0.3864,18.37,596.0,38941.0
5049,"Fulton County, Arkansas",2027,19.92,0.3864,18.37,596.0,38941.0
5049,"Fulton County, Arkansas",2028,20.3,0.3864,18.37,596.0,38941.0
5051,"Garland County, Arkansas",2024,20.24,-0.1624,20.4,942.0,55409.0
5051,"Garland County, Arkansas",2025,20.08,-0.1624,20.4,942.0,55409.0
5051,"Garland County, Arkansas",2026,19.91,-0.1624,20.4,942.0,55409.0
5051,"Garland County, Arkansas",2027,19.75,-0.1624,20.4,942.0,55409.0
5051,"Garland County, Arkansas",2028,19.59,-0.1624,20.4,942.0,55409.0
5053,"Grant County, Arkansas",2024,12.39,-0.5,12.89,779.0,72512.0
5053,"Grant County, Arkansas",2025,11.89,-0.5,12.89,779.0,72512.0
5053,"Grant County, Arkansas",2026,11.39,-0.5,12.89,779.0,72512.0
5053,"Grant County, Arkansas",2027,10.89,-0.5,12.89,779.0,72512.0
5053,"Grant County, Arkansas",2028,10.39,-0.5,12.89,779.0,72512.0
5065,"Izard County, Arkansas",2024,15.26,-0.4833,15.74,626.0,47728.0
5065,"Izard County, Arkansas",2025,14.77,-0.4833,15.74,626.0,47728.0
5065,"Izard County, Arkansas",2026,14.29,-0.4833,15.74,626.0,47728.0
5065,"Izard County, Arkansas",2027,13.81,-0.4833,15.74,626.0,47728.0
5065,"Izard County, Arkansas",2028,13.32,-0.4833,15.74,626.0,47728.0
5067,"Jackson County, Arkansas",2024,18.82,-0.4514,19.27,662.0,41215.0
5067,"Jackson County, Arkansas",2025,18.37,-0.4514,19.27,662.0,41215.0
5067,"Jackson County, Arkansas",2026,17.92,-0.4514,19.27,662.0,41215.0
5067,"Jackson County, Arkansas",2027,17.46,-0.4514,19.27,662.0,41215.0
5067,"Jackson County, Arkansas",2028,17.01,-0.4514,19.27,662.0,41215.0
5069,"Jefferson County, Arkansas",2024,20.73,-0.2543,20.98,849.0,48552.0
5069,"Jefferson County, Arkansas",2025,20.47,-0.2543,20.98,849.0,48552.0
5069,"Jefferson County, Arkansas",2026,20.22,-0.2543,20.98,849.0,48552.0
5069,"Jefferson County, Arkansas",2027,19.96,-0.2543,20.98,849.0,48552.0
5069,"Jefferson County, Arkansas",2028,19.71,-0.2543,20.98,849.0,48552.0
5083,"Logan County, Arkansas",2024,15.56,-0.393,15.95,721.0,54237.0
5083,"Logan County, Arkansas",2025,15.16,-0.393,15.95,721.0,54237.0
5083,"Logan County, Arkansas",2026,14.77,-0.393,15.95,721.0,54237.0
5083,"Logan County, Arkansas",2027,14.38,-0.393,15.95,721.0,54237.0
5083,"Logan County, Arkansas",2028,13.99,-0.393,15.95,721.0,54237.0
5087,"Madison County, Arkansas",2024,15.87,-0.3167,16.19,727.0,53888.0
5087,"Madison County, Arkansas",2025,15.56,-0.3167,16.19,727.0,53888.0
5087,"Madison County, Arkansas",2026,15.24,-0.3167,16.19,727.0,53888.0
5087,"Madison County, Arkansas",2027,14.92,-0.3167,16.19,727.0,53888.0
5087,"Madison County, Arkansas",2028,14.61,-0.3167,16.19,727.0,53888.0
5089,"Marion County, Arkansas",2024,20.41,0.1715,20.24,792.0,46953.0
5089,"Marion County, Arkansas",2025,20.58,0.1715,20.24,792.0,46953.0
5089,"Marion County, Arkansas",2026,20.75,0.1715,20.24,792.0,46953.0
5089,"Marion County, Arkansas",2027,20.93,0.1715,20.24,792.0,46953.0
5089,"Marion County, Arkansas",2028,21.1,0.1715,20.24,792.0,46953.0
5093,"Mississippi County, Arkansas",2024,17.4,-0.5,17.9,797.0,53428.0
5093,"Mississippi County, Arkansas",2025,16.9,-0.5,17.9,797.0,53428.0
5093,"Mississippi County, Arkansas",2026,16.4,-0.5,17.9,797.0,53428.0
5093,"Mississippi County, Arkansas",2027,15.9,-0.5,17.9,797.0,53428.0
5093,"Mississippi County, Arkansas",2028,15.4,-0.5,17.9,797.0,53428.0
5103,"Ouachita County, Arkansas",2024,16.73,-0.4642,17.19,714.0,49838.0
5103,"Ouachita County, Arkansas",2025,16.26,-0.4642,17.19,714.0,49838.0
5103,"Ouachita County, Arkansas",2026,15.8,-0.4642,17.19,714.0,49838.0
5103,"Ouachita County, Arkansas",2027,15.33,-0.4642,17.19,714.0,49838.0
5103,"Ouachita County, Arkansas",2028,14.87,-0.4642,17.19,714.0,49838.0
5105,"Perry County, Arkansas",2024,14.38,-0.2807,14.66,734.0,60078.0
5105,"Perry County, Arkansas",2025,14.1,-0.2807,14.66,734.0,60078.0
5105,"Perry County, Arkansas",2026,13.82,-0.2807,14.66,734.0,60078.0
5105,"Perry County, Arkansas",2027,13.54,-0.2807,14.66,734.0,60078.0
5105,"Perry County, Arkansas",2028,13.26,-0.2807,14.66,734.0,60078.0
5109,"Pike County, Arkansas",2024,15.55,-0.2373,15.79,671.0,51000.0
5109,"Pike County, Arkansas",2025,15.32,-0.2373,15.79,671.0,51000.0
5109,"Pike County, Arkansas",2026,15.08,-0.2373,15.79,671.0,51000.0
5109,"Pike County, Arkansas",2027,14.84,-0.2373,15.79,671.0,51000.0
5109,"Pike County, Arkansas",2028,14.6,-0.2373,15.79,671.0,51000.0
5111,"Poinsett County, Arkansas",2024,16.26,-0.1877,16.45,647.0,47188.0
5111,"Poinsett County, Arkansas",2025,16.07,-0.1877,16.45,647.0,47188.0
5111,"Poinsett County, Arkansas",2026,15.89,-0.1877,16.45,647.0,47188.0
5111,"Poinsett County, Arkansas",2027,15.7,-0.1877,16.45,647.0,47188.0
5111,"Poinsett County, Arkansas",2028,15.51,-0.1877,16.45,647.0,47188.0
5123,"St. Francis County, Arkansas",2024,23.15,0.4319,22.72,791.0,41784.0
5123,"St. Francis County, Arkansas",2025,23.58,0.4319,22.72,791.0,41784.0
5123,"St. Francis County, Arkansas",2026,24.02,0.4319,22.72,791.0,41784.0
5123,"St. Francis County, Arkansas",2027,24.45,0.4319,22.72,791.0,41784.0
5123,"St. Francis County, Arkansas",2028,24.88,0.4319,22.72,791.0,41784.0
5125,"Saline County, Arkansas",2024,15.18,-0.1892,15.37,980.0,76534.0
5125,"Saline County, Arkansas",2025,14.99,-0.1892,15.37,980.0,76534.0
5125,"Saline County, Arkansas",2026,14.8,-0.1892,15.37,980.0,76534.0
5125,"Saline County, Arkansas",2027,14.61,-0.1892,15.37,980.0,76534.0
5125,"Saline County, Arkansas",2028,14.42,-0.1892,15.37,980.0,76534.0
5127,"Scott County, Arkansas",2024,19.42,0.5,17.42,619.0,42635.0
5127,"Scott County, Arkansas",2025,19.92,0.5,17.42,619.0,42635.0
